ABX3,exp_label,is_train,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob,encoded_label,rA_rX,rB_rX,d_AX,d_BX,chi_A,Z_A,chi_B,Z_B,chi_X,Z_X,delta_chi_AX,delta_chi_BX
AgBrO3,-1,1,Ag,Br,O,1,5,-2,1.28,0.31,1.4,1.11,6.43,-1,-1,0.05,0,0.9142857142857144,0.22142857142857145,2.6799999999999997,1.71,1.93,47.0,2.96,35.0,3.44,8.0,1.51,0.48
AgCdBr3,-1,1,Ag,Cd,Br,1,2,-1,1.28,0.95,1.96,0.79,5.58,-1,-1,0.12,0,0.653061224489796,0.4846938775510204,3.24,2.91,1.93,47.0,1.69,48.0,2.96,35.0,1.03,1.27
PbAgBr3,-1,1,Pb,Ag,Br,2,1,-1,1.49,1.15,1.96,0.78,7.71,-1,-1,0.01,0,0.7602040816326531,0.586734693877551,3.45,3.11,1.8,82.0,1.93,47.0,2.96,35.0,1.16,1.03
AgCaCl3,-1,1,Ag,Ca,Cl,1,2,-1,1.28,1.0,1.81,0.78,6.0,-1,-1,0.07,0,0.7071823204419889,0.5524861878453039,3.09,2.81,1.93,47.0,1.0,20.0,3.16,17.0,1.2300000000000002,2.16
AgClO3,-1,1,Ag,Cl,O,1,5,-2,1.28,0.12,1.4,1.25,15.17,-1,-1,0.0,0,0.9142857142857144,0.08571428571428572,2.6799999999999997,1.52,1.93,47.0,3.16,17.0,3.44,8.0,1.51,0.2799999999999998
AgMgCl3,-1,1,Ag,Mg,Cl,1,2,-1,1.28,0.72,1.81,0.86,4.6,1,-1,0.34,0,0.7071823204419889,0.39779005524861877,3.09,2.5300000000000002,1.93,47.0,1.31,12.0,3.16,17.0,1.2300000000000002,1.85
AgSnCl3,-1,1,Ag,Sn,Cl,1,2,-1,1.28,1.15,1.81,0.74,10.97,-1,-1,0.0,0,0.7071823204419889,0.6353591160220994,3.09,2.96,1.93,47.0,1.96,50.0,3.16,17.0,1.2300000000000002,1.2000000000000002
AgCoF3,1,1,Ag,Co,F,1,2,-1,1.28,0.74,1.33,0.89,3.96,1,1,0.64,1,0.9624060150375939,0.556390977443609,2.6100000000000003,2.0700000000000003,1.93,47.0,1.88,27.0,3.98,9.0,2.05,2.1
AgCuF3,1,1,Ag,Cu,F,1,2,-1,1.28,0.73,1.33,0.9,3.94,1,1,0.64,1,0.9624060150375939,0.5488721804511277,2.6100000000000003,2.06,1.93,47.0,1.9,29.0,3.98,9.0,2.05,2.08
AgMgF3,1,1,Ag,Mg,F,1,2,-1,1.28,0.72,1.33,0.9,3.94,1,1,0.65,1,0.9624060150375939,0.5413533834586466,2.6100000000000003,2.05,1.93,47.0,1.31,12.0,3.98,9.0,2.05,2.67
